غضبان angery
قادر able
إجابة answer
تقريبا about
أي any
فوق above
يظهر appear
يضيف add
تفاحة apple
خائف afraid
يكون are
بعد after
يصل arrive
مرة أخرى again
مثل as
ضد against
يسأل ask
عمر age
منذ ago
يوافق agree
هواء air
كل all
يسمح allow
أيضا also
دائما always
أكون am
بين among
و and
لوح خشبي board
رضيع_صغير baby
قارب_زورق_مركب boat
خلف_ظهر back
جسم body
سيء_رديء bad
عظم bone
كرة ball
كتاب book
موز banana
كلا both
بنك bank
يزعج bother
قضيب_قطعة bar
صندوق box
أساس base
ولد boy
خفاش bat
خبز bread
يكون be
يكسر break
يحمل bear
يتنفس breath
يضرب beat
يحضر bring
جمال beauty
أخ brother
سرير bed
بني brown
قبل before
يبني build
يبدأ begin
يحترق burn
خلف behind
مشغول busy
يؤمن believe
لكن but
أفضل best
بواسطة by
أحسن better
يشتري buy
بين between
كبير big
طائر bird
أسود black
دم blood
أزرق blue
سحابة cloud
نداء call
بارد cold
يستطيع can
لون color
عاصمة Capital
يأتي come
سيارة car
شركة company
بطاقة card
يقارن compare
يعتني care
كامل complete
يحمل carry
يطبخ cook
حقيبة case
معتدل البرودة-بارد cool
قطة cat
ينسخ-نسخة copy
يمسك-يقبض على catch
ذرة corn
سبب-يسبب cause
زاوية corner
مركز-وسط-محور center
يصحح-يعدل-صحيح correct
فرصة chance
ثمن-كلفة-يثمن cost
يغير-يبدل-يصرف change
يعد-يحصي count
يشحن-يتهم charge
بلد-وطن country
غشاش-يغش-يحتال cheat
غطاء-يغطي cover
دجاجة chicken
بقرة cow
طفل child
يخلق create
يختار choose
جريمة crime
حلقة-دائرة-يدور circle
صليب-يعبر cross
مدينة city
يصيح-يبكي cry
درجة-طبقة-فصل class
فنجان-كوب cup
نظيف-ينظف clean
يقص-يقطع cut
واضح-صاف clear
ساعة (حائط) clock
يغلق-يقفل close
